Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
1346,0,2.26E-05,0.000331335,0.000388114,0.000242835,0.0002786,,0.42263836,1.542504519,0.0000149,1.34E-49,2.57E-64
1347,0,2.25E-05,0.000330269,0.00038689,0.00024203,0.000277688,,0.422030006,1.540650014,0.0000148,1.22E-49,2.57E-64
1348,0,2.24E-05,0.000329206,0.000385671,0.000241228,0.00027678,,0.421422979,1.538799112,0.0000148,1.12E-49,2.57E-64
1349,0,0.000022306,0.000328148,0.000384456,0.00024043,0.000275876,,0.420817274,1.536951804,0.0000147,1.02E-49,2.57E-64
1350,0,2.22E-05,0.000327094,0.000383246,0.000239634,0.000274976,,0.420212887,1.535108079,0.0000146,9.32E-50,2.57E-64
1351,0,2.21E-05,0.000326044,0.000382041,0.000238842,0.000274078,,0.419609815,1.53326793,0.0000145,8.52E-50,2.57E-64
1352,0,2.20E-05,0.000324999,0.000380841,0.000238053,0.000273185,,0.419008054,1.531431345,0.0000145,7.78E-50,2.57E-64
1353,0,2.19E-05,0.000323957,0.000379645,0.000237267,0.000272295,,0.4184076,1.529598316,0.0000144,7.11E-50,2.57E-64
1354,0,2.19E-05,0.000322919,0.000378453,0.000236485,0.000271409,,0.417808448,1.527768832,0.0000143,6.50E-50,2.57E-64
1355,0,2.18E-05,0.000321886,0.000377267,0.000235705,0.000270526,,0.417210597,1.525942885,0.0000143,5.94E-50,2.57E-64
1356,0,2.17E-05,0.000320856,0.000376085,0.000234929,0.000269646,,0.416614041,1.524120465,0.0000142,5.42E-50,2.57E-64
1357,0,2.16E-05,0.000319831,0.000374907,0.000234156,0.000268771,,0.416018776,1.522301562,0.0000141,4.96E-50,2.57E-64
1358,0,2.15E-05,0.00031881,0.000373734,0.000233386,0.000267898,,0.4154248,1.520486168,0.0000141,4.53E-50,2.57E-64
1359,0,2.14E-05,0.000317792,0.000372566,0.000232619,0.000267029,,0.414832108,1.518674272,0.000014,4.14E-50,2.57E-64
1360,0,0.000021336,0.000316779,0.000371402,0.000231855,0.000266164,,0.414240697,1.516865866,0.0000139,3.78E-50,2.57E-64
1361,0,2.13E-05,0.00031577,0.000370242,0.000231094,0.000265302,,0.413650562,1.515060941,0.0000138,3.45E-50,2.57E-64
1362,0,0.000021165,0.000314764,0.000369087,0.000230336,0.000264443,,0.413061701,1.513259486,0.0000138,3.16E-50,2.57E-64
