Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
3022,0,0.014241999,0.012333307,0.013650414,0.003626119,0.003280484,,0.128614698,0.216042217,0.000622061,4.82E-19,1.71E-57
3023,0,0.014230667,0.012323307,0.013639499,0.003622624,0.00327726,,0.128545545,0.215936579,0.000621198,4.75E-19,1.63E-57
3024,0,0.014219346,0.012313319,0.013628596,0.003619133,0.003274039,,0.128476453,0.215831028,0.000620336,4.68E-19,1.56E-57
3025,0,0.014208039,0.012303342,0.013617706,0.003615647,0.003270823,,0.128407421,0.215725563,0.000619476,4.61E-19,1.49E-57
3026,0,0.014196745,0.012293377,0.013606828,0.003612165,0.003267611,,0.128338449,0.215620185,0.000618617,4.54E-19,1.42E-57
3027,0,0.014185463,0.012283423,0.013595962,0.003608688,0.003264403,,0.128269536,0.215514892,0.00061776,4.47E-19,1.36E-57
3028,0,0.014174193,0.01227348,0.013585108,0.003605215,0.003261199,,0.128200684,0.215409686,0.000616904,4.40E-19,1.30E-57
3029,0,0.014162937,0.012263548,0.013574267,0.003601747,0.003258,,0.128131891,0.215304566,0.000616049,4.34E-19,1.24E-57
3030,0,0.014151693,0.012253628,0.013563437,0.003598283,0.003254805,,0.128063157,0.215199532,0.000615196,4.27E-19,1.18E-57
3031,0,0.014140461,0.01224372,0.01355262,0.003594824,0.003251614,,0.127994483,0.215094584,0.000614345,4.21E-19,1.13E-57
3032,0,0.014129243,0.012233822,0.013541815,0.003591369,0.003248427,,0.127925869,0.214989722,0.000613495,4.14E-19,1.08E-57
3033,0,0.014118036,0.012223936,0.013531023,0.003587919,0.003245244,,0.127857314,0.214884945,0.000612646,4.08E-19,1.03E-57
3034,0,0.014106843,0.012214061,0.013520242,0.003584473,0.003242065,,0.127788818,0.214780254,0.000611799,4.02E-19,9.83E-58
3035,0,0.014095662,0.012204197,0.013509474,0.003581032,0.003238891,,0.127720381,0.214675649,0.000610953,3.96E-19,9.39E-58
3036,0,0.014084493,0.012194344,0.013498717,0.003577595,0.003235721,,0.127652004,0.214571129,0.000610108,3.90E-19,8.97E-58
3037,0,0.014073337,0.012184503,0.013487973,0.003574162,0.003232554,,0.127583686,0.214466694,0.000609265,3.84E-19,8.56E-58
3038,0,0.014062194,0.012174672,0.013477241,0.003570734,0.003229392,,0.127515427,0.214362344,0.000608424,3.78E-19,8.18E-58
3039,0,0.014051063,0.012164853,0.013466521,0.00356731,0.003226234,,0.127447227,0.214258079,0.000607583,3.73E-19,7.81E-58
3040,0,0.014039944,0.012155045,0.013455813,0.003563891,0.003223081,,0.127379085,0.2141539,0.000606744,3.67E-19,7.46E-58
3041,0,0.014028838,0.012145248,0.013445116,0.003560476,0.003219931,,0.127311003,0.214049805,0.000605907,3.61E-19,7.13E-58
3042,0,0.014017744,0.012135463,0.013434432,0.003557065,0.003216785,,0.127242979,0.213945795,0.000605071,3.56E-19,6.81E-58
3043,0,0.014006663,0.012125688,0.01342376,0.003553659,0.003213644,,0.127175014,0.21384187,0.000604236,3.51E-19,6.50E-58
3044,0,0.013995594,0.012115924,0.0134131,0.003550257,0.003210506,,0.127107108,0.213738029,0.000603403,3.45E-19,6.21E-58
3045,0,0.013984537,0.012106172,0.013402452,0.003546859,0.003207373,,0.12703926,0.213634273,0.000602571,3.40E-19,5.93E-58
3046,0,0.013973493,0.01209643,0.013391816,0.003543466,0.003204244,,0.12697147,0.213530601,0.00060174,3.35E-19,5.66E-58
3047,0,0.013962461,0.0120867,0.013381191,0.003540077,0.003201119,,0.126903739,0.213427014,0.000600911,3.30E-19,5.41E-58
3048,0,0.013951442,0.01207698,0.013370579,0.003536693,0.003197998,,0.126836067,0.21332351,0.000600084,3.25E-19,5.16E-58
3049,0,0.013940434,0.012067272,0.013359978,0.003533313,0.00319488,,0.126768452,0.213220091,0.000599257,3.20E-19,4.93E-58
3050,0,0.013929439,0.012057574,0.01334939,0.003529937,0.003191767,,0.126700896,0.213116756,0.000598432,3.15E-19,4.71E-58
